chaser,step,scene,duration_ms,beats
disco_funk-ice_palace-mirrorball_peak,46,par_34_pink,,1
disco_funk-ice_palace-mirrorball_peak,47,par_all_warm_white,,1
disco_funk-ice_palace-mirrorball_peak,48,par_all_off,,1
disco_funk-ice_palace-mirrorball_peak,49,disco_cyan,,1
disco_funk-ice_palace-mirrorball_peak,50,disco_pink,,1
disco_funk-ice_palace-mirrorball_peak,51,disco_straw,,1
disco_funk-ice_palace-mirrorball_peak,52,disco_off,,1
disco_funk-ice_palace-mirrorball_peak,53,disco_cyan,,1
disco_funk-ice_palace-mirrorball_peak,54,disco_pink,,1
disco_funk-ice_palace-mirrorball_peak,55,disco_straw,,1
disco_funk-ice_palace-mirrorball_peak,56,disco_off,,1
disco_funk-ice_palace-mirrorball_peak,57,par_all_cyan,,1
disco_funk-ice_palace-mirrorball_peak,58,par_all_pink,,1
disco_funk-ice_palace-mirrorball_peak,59,par_all_warm_white,,1
disco_funk-ice_palace-mirrorball_peak,60,par_all_cyan,,1
disco_funk-ice_palace-mirrorball_peak,61,par_all_cyan,,1
disco_funk-ice_palace-mirrorball_peak,62,par_all_pink,,1
disco_funk-ice_palace-mirrorball_peak,63,par_all_warm_white,,1
disco_funk-ice_palace-mirrorball_peak,64,par_all_cyan,,1

# Dance & House - Blue Room - Deep Room - low
dance_house-blue_room-deep_room,1,par_all_cyan,,1
dance_house-blue_room-deep_room,2,par_12_cyan,,1
dance_house-blue_room-deep_room,3,par_all_cyan,,1
dance_house-blue_room-deep_room,4,par_34_cyan,,1
dance_house-blue_room-deep_room,5,par_all_cyan,,1
dance_house-blue_room-deep_room,6,par_12_cyan,,1
dance_house-blue_room-deep_room,7,par_all_cyan,,1
dance_house-blue_room-deep_room,8,par_34_cyan,,1
dance_house-blue_room-deep_room,9,par_all_cyan,,1
dance_house-blue_room-deep_room,10,par_12_cyan,,1
dance_house-blue_room-deep_room,11,par_all_cyan,,1
dance_house-blue_room-deep_room,12,par_34_cyan,,1
dance_house-blue_room-deep_room,13,par_all_cyan,,1
dance_house-blue_room-deep_room,14,par_12_cyan,,1
dance_house-blue_room-deep_room,15,par_all_cyan,,1
dance_house-blue_room-deep_room,16,par_34_cyan,,1
dance_house-blue_room-deep_room,17,par_all_lavender,,1
dance_house-blue_room-deep_room,18,par_all_lavender,,1
